"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","924.994622507006","941.783827974029","938.845615041268","887.762617073625","883.767705922145","901.427493683653","1136.13289698406","914.781970964735","952.28315178875","974.13357438583","1104.5237311121","1163.38269473411","980.213111380481","1240.1613615143","1217.27079246525","1212.41646349497","1306.31706765716","1286.29495905919","1250.55888196295","1349.9314147647","1561.44654314566","1301.11405840329","1111.57985518266","1080.32964502905","1280.68553601544","1262.14884564586","1235.7956339844","1325.21272504718","1463.80620351215","1357.14526999867","1355.46571461637","983.760684282831","1427.68072064821","1374.70342512707","1186.38369232989","1445.18229966277","1341.02413108596","1318.21437336967","1376.84168747334","1459.73040147625","1442.7853749584","1453.33097129853","1296.01220898097","1393.98606392893","1397.30340190221","1458.67247337431","1482.14619742158","1552.73995995028","1646.19833136796","1818.83842950626","1775.1092566039","1663.99369987163","1545.16730019608","1667.40429908681","1658.18133885247","1498.71469961774","1728.81867042433","1622.88292162038","","",
"Afghanistan","AFG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1115.1","1079","985.8","1082.8","1098.9","1012.3","1224.5","1287.5","1310.4","1105.1","976.2","1006.9","1279.6","1301.9","1316.4","1362.4","1224","1291.9","1323.7","1349","1338.3","1330.2","1355.6","1334.1","1331.7","1314","1359.8","1285.7","1237.6","1200.6","1160.4","1097.8","1132.9","1140.4","1214.5","1204.4","1348.8","1388","1285.7","806.3","1006.7","1669.8","1458","1334.8","1790.4","1551.7","1915.3","1455.4","2040.7","2011.1","1659.9","2029.6","2048.5","2017.5","2133.7","1981.9","2025.1","2164.9","","",
"Africa Western and Central","AFW","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","675.35481551441","702.24445589708","698.032525671718","691.134187251496","658.343442379971","643.872507614384","684.305250773169","666.783772840426","654.672297468817","691.007034334832","692.217957714029","639.250116264092","643.44296178791","829.809827074454","818.881204221624","691.397061306785","744.443095744951","777.074923953923","788.769830164126","806.51835384263","947.038375772686","928.13878169238","884.168967757578","879.971652157499","958.694722293144","950.656788493824","944.714112891064","1005.191079178","964.3806306642","875.010967556294","918.348590338137","907.545475871309","928.994807488005","902.460918595781","962.049581181243","987.244047482123","966.849056602243","998.367949613727","1032.23219310184","971.626509190698","1001.9982599154","1011.11302537205","1075.36918458385","1089.55636870271","1143.37468015212","1180.55912675258","1107.14066249566","1231.7583422818","1192.05413994409","1186.05561649084","1063.08509305639","1189.74588757444","1114.15507239775","1194.15284852701","1239.63959089503","1241.1976694815","1206.81115642159","1276.10038752205","","",
"Angola","AGO","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","828","830.3","798.4","875.8","932","824.3","814.6","805.7","898.9","911.3","805.7","780.3","764","712.6","773.9","775.5","603.1","667.1","509.2","617.9","451.1","450.6","484.6","466","449.1","379.8","381.2","332.4","277.4","320.9","417.5","397.1","268","298.4","401.5","653.1","567.4","701.6","620.4","564.4","585.4","627.2","646.1","491.7","583.4","445.9","464.3","652.7","571.4","629.3","662.4","552","814.4","888.2","982.5","779.9","754.7","753.3","","",
"Albania","ALB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","845.2","941.8","982.3","1023.3","1037.3","1318.6","1464.1","1553.7","1639.8","1646.1","1753.6","1768.7","1843","1934.5","2028.9","2445.1","2550.1","2620.2","2634.8","2364","2500.6","2715.2","3046","2966.3","2900.6","2990.3","2965.6","2875","2961.7","2794.4","2071.9","2158.6","2685","2460.9","2841.5","2450.9","2833.3","2872.1","2798.1","3175.1","3030.8","3291.9","3185.7","3466.3","3462.1","3602.6","3728.4","4081.2","4315.3","4761.8","4750.7","4883.8","4949.8","4892.6","4873.8","4716.4","4813","4840.5","","",
"Andorra","AND","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","782.793100988119","1139.94802310594","1058.28100478674","998.2131503349","1048.70882463217","914.765104886598","1023.38567147466","1247.8515327411","1124.99041541182","1047.04328937798","1180.14751690015","1302.40135976481","988.479092875378","1163.9784938931","1158.0557524009","1216.30221063477","969.898887675939","1150.78958885077","1077.5898235568","1277.71531520864","1165.9415543577","1273.07303166454","1152.10643814294","1185.78142081434","1370.52193599428","1526.89066777395","1381.03276536525","1766.80012256712","1471.58267406742","1577.80904119481","1784.71958579878","1598.68367291313","1646.61312386737","1937.82873394827","1738.90486324025","2020.6412273229","1859.85718172572","1850.61966898939","1845.46965522898","1766.19389062086","2010.62277078088","2290.24860225912","2321.06874177237","2250.00695374558","2092.24616010037","2452.0688017132","2104.58679157183","2295.86894981456","2617.27105078104","2242.41274770422","2524.86915002729","2032.47283829585","1967.37069603811","1796.04533868242","2057.43883887928","1705.27493316193","1869.67743900492","2011.46164866692","","",
"United Arab Emirates","ARE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","1166.7","1466.7","2242.9","2409.6","2018.7","2000","1417.8","1613.4","1340.2","1185.7","1106.3","808.3","1924.7","2216.5","3494.1","4368.3","4164.7","6414.5","6474","6502.1","15894","17746.3","17165.8","17504.7","17476.9","18064.6","20927.8","20373.6","20215.2","20900.8","21428.6","22265.9","24716.6","18069.8","24064.3","12112.2","36761.9","13785.4","32028.7","31538.2","30235","27582.1","","",
"Argentina","ARG","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","1410.7","1604.9","1511.2","1695.4","1403.2","1557","1606.4","1313.3","1554.7","1775.3","1783.5","1609.5","2041.4","2046.2","1955.9","1907.2","2134.9","2424.3","2252.2","1874.1","2425","2442.8","2330.1","2581.5","2439.5","2582.2","2382.6","2527.9","2129.4","2250.8","2426.2","2955.5","3054.1","2769.5","2904.2","2712.8","3013.7","3818.9","3314.4","3472.5","3396","3282.3","3318.8","3649.7","4110.7","3718","4274.7","4102.1","3267.3","4848.6","4612.1","4146.2","4796.8","4836.8","4779.3","5203.8","5404.9","4671.4","","",
